input,time,language,algorithm
42000,3029611,C,insertion_recursive
42000,2962622,C,insertion_recursive
42000,3096918,C,insertion_recursive
43000,3195833,C,insertion_recursive
43000,3212847,C,insertion_recursive
43000,3036899,C,insertion_recursive
43000,3037526,C,insertion_recursive
43000,3197668,C,insertion_recursive
43000,3133757,C,insertion_recursive
43000,4050206,C,insertion_recursive
43000,3161862,C,insertion_recursive
43000,3228292,C,insertion_recursive
43000,3117154,C,insertion_recursive
44000,3329200,C,insertion_recursive
44000,3184436,C,insertion_recursive
44000,3365935,C,insertion_recursive
44000,3586501,C,insertion_recursive
44000,3180596,C,insertion_recursive
44000,3324489,C,insertion_recursive
44000,3283709,C,insertion_recursive
44000,3172960,C,insertion_recursive
44000,3224110,C,insertion_recursive
44000,3739447,C,insertion_recursive
45000,3471362,C,insertion_recursive
45000,3507359,C,insertion_recursive
45000,3460086,C,insertion_recursive
45000,3396867,C,insertion_recursive
45000,3384394,C,insertion_recursive
45000,3384804,C,insertion_recursive
45000,3517389,C,insertion_recursive
45000,3436065,C,insertion_recursive
45000,3541759,C,insertion_recursive
45000,3465732,C,insertion_recursive
46000,3539424,C,insertion_recursive
46000,3659756,C,insertion_recursive
46000,3565333,C,insertion_recursive
46000,3565178,C,insertion_recursive
46000,3498763,C,insertion_recursive
46000,3508893,C,insertion_recursive
46000,3508668,C,insertion_recursive
46000,3548393,C,insertion_recursive
46000,3482936,C,insertion_recursive
46000,3552761,C,insertion_recursive
47000,3827748,C,insertion_recursive
47000,3666286,C,insertion_recursive
47000,3676049,C,insertion_recursive
47000,3652601,C,insertion_recursive
47000,3716816,C,insertion_recursive
47000,3694812,C,insertion_recursive
47000,3699317,C,insertion_recursive
47000,3789353,C,insertion_recursive
47000,3697034,C,insertion_recursive
47000,3726452,C,insertion_recursive
48000,3838394,C,insertion_recursive
48000,3837687,C,insertion_recursive
48000,3968169,C,insertion_recursive
48000,3879208,C,insertion_recursive
48000,4196300,C,insertion_recursive
48000,3947474,C,insertion_recursive
48000,3993719,C,insertion_recursive
48000,3988860,C,insertion_recursive
48000,3960627,C,insertion_recursive
48000,4171917,C,insertion_recursive
49000,4072715,C,insertion_recursive
49000,4039259,C,insertion_recursive
49000,4043767,C,insertion_recursive
49000,4041062,C,insertion_recursive
49000,4081592,C,insertion_recursive
49000,4042440,C,insertion_recursive
49000,4011788,C,insertion_recursive
49000,4019643,C,insertion_recursive
49000,4043463,C,insertion_recursive
49000,4000948,C,insertion_recursive
0,0,C,insertion_recursive
1000,802,C,insertion_iterative
1000,762,C,insertion_iterative
1000,797,C,insertion_iterative
1000,765,C,insertion_iterative
1000,737,C,insertion_iterative
1000,708,C,insertion_iterative
