input,query,time,language,algorithm
42000,39079,399,C,linear_recursive
43000,18954,140,C,linear_recursive
43000,-1,390,C,linear_recursive
43000,29688,288,C,linear_recursive
43000,-1,377,C,linear_recursive
43000,2776,17,C,linear_recursive
43000,-1,377,C,linear_recursive
43000,42722,446,C,linear_recursive
43000,-1,346,C,linear_recursive
43000,40610,437,C,linear_recursive
43000,-1,339,C,linear_recursive
44000,41139,430,C,linear_recursive
44000,-1,384,C,linear_recursive
44000,-1,363,C,linear_recursive
44000,-1,348,C,linear_recursive
44000,-1,455,C,linear_recursive
44000,-1,355,C,linear_recursive
44000,40762,349,C,linear_recursive
44000,-1,463,C,linear_recursive
44000,43332,362,C,linear_recursive
44000,-1,348,C,linear_recursive
45000,13260,91,C,linear_recursive
45000,-1,479,C,linear_recursive
45000,42241,346,C,linear_recursive
45000,39154,307,C,linear_recursive
45000,29968,232,C,linear_recursive
45000,5332,46,C,linear_recursive
45000,5953,40,C,linear_recursive
45000,15225,128,C,linear_recursive
45000,14479,123,C,linear_recursive
45000,8834,57,C,linear_recursive
46000,-1,508,C,linear_recursive
46000,23931,173,C,linear_recursive
46000,-1,483,C,linear_recursive
46000,3839,25,C,linear_recursive
46000,34079,305,C,linear_recursive
46000,7320,66,C,linear_recursive
46000,-1,494,C,linear_recursive
46000,37159,296,C,linear_recursive
46000,-1,386,C,linear_recursive
46000,38425,388,C,linear_recursive
47000,19131,137,C,linear_recursive
47000,45762,429,C,linear_recursive
47000,-1,517,C,linear_recursive
47000,-1,414,C,linear_recursive
47000,32158,253,C,linear_recursive
47000,-1,411,C,linear_recursive
47000,37562,407,C,linear_recursive
47000,26245,201,C,linear_recursive
47000,10933,77,C,linear_recursive
47000,-1,506,C,linear_recursive
48000,-1,499,C,linear_recursive
48000,34489,274,C,linear_recursive
48000,15041,147,C,linear_recursive
48000,-1,498,C,linear_recursive
48000,-1,411,C,linear_recursive
48000,23645,171,C,linear_recursive
48000,26002,243,C,linear_recursive
48000,-1,471,C,linear_recursive
48000,-1,406,C,linear_recursive
48000,38113,395,C,linear_recursive
49000,25263,201,C,linear_recursive
49000,-1,474,C,linear_recursive
49000,21511,206,C,linear_recursive
49000,-1,502,C,linear_recursive
49000,-1,411,C,linear_recursive
49000,-1,417,C,linear_recursive
49000,18089,166,C,linear_recursive
49000,-1,509,C,linear_recursive
49000,-1,418,C,linear_recursive
49000,-1,449,C,linear_recursive
49000,31,0,C,linear_recursive
1000,475,2,C,linear_iterative
1000,779,2,C,linear_iterative
1000,-1,3,C,linear_iterative
1000,-1,2,C,linear_iterative
1000,350,1,C,linear_iterative
1000,356,1,C,linear_iterative
1000,-1,3,C,linear_iterative
1000,640,1,C,linear_iterative
1000,403,1,C,linear_iterative
1000,308,1,C,linear_iterative
2000,-1,6,C,linear_iterative
2000,1648,5,C,linear_iterative
2000,-1,6,C,linear_iterative
2000,-1,6,C,linear_iterative
2000,-1,6,C,linear_iterative
2000,-1,6,C,linear_iterative
2000,226,0,C,linear_iterative
2000,-1,6,C,linear_iterative
2000,-1,6,C,linear_iterative
2000,1370,4,C,linear_iterative
3000,-1,9,C,linear_iterative
3000,-1,9,C,linear_iterative
3000,-1,9,C,linear_iterative
3000,1096,3,C,linear_iterative
3000,-1,9,C,linear_iterative
3000,2728,8,C,linear_iterative
3000,2439,7,C,linear_iterative
3000,673,2,C,linear_iterative
3000,-1,9,C,linear_iterative
3000,516,2,C,linear_iterative
4000,1940,6,C,linear_iterative
4000,-1,12,C,linear_iterative
4000,-1,12,C,linear_iterative
4000,-1,12,C,linear_iterative
4000,-1,12,C,linear_iterative
4000,2272,7,C,linear_iterative
4000,600,2,C,linear_iterative
4000,219,1,C,linear_iterative
4000,1018,3,C,linear_iterative
4000,-1,12,C,linear_iterative
5000,3115,9,C,linear_iterative
5000,-1,15,C,linear_iterative
5000,4744,14,C,linear_iterative
5000,2047,6,C,linear_iterative
5000,1478,5,C,linear_iterative
5000,621,2,C,linear_iterative
5000,4444,16,C,linear_iterative
5000,2474,8,C,linear_iterative
5000,-1,15,C,linear_iterative
5000,-1,15,C,linear_iterative
6000,-1,18,C,linear_iterative
6000,2390,7,C,linear_iterative
6000,-1,18,C,linear_iterative
6000,3602,10,C,linear_iterative
6000,-1,18,C,linear_iterative
6000,2031,6,C,linear_iterative
6000,2902,8,C,linear_iterative
6000,3665,11,C,linear_iterative
6000,2698,8,C,linear_iterative
6000,224,1,C,linear_iterative
7000,-1,21,C,linear_iterative
7000,-1,20,C,linear_iterative
7000,-1,21,C,linear_iterative
7000,-1,20,C,linear_iterative
7000,2142,7,C,linear_iterative
7000,-1,20,C,linear_iterative
7000,6784,20,C,linear_iterative
7000,-1,21,C,linear_iterative
7000,-1,21,C,linear_iterative
7000,-1,21,C,linear_iterative
8000,6937,21,C,linear_iterative
8000,7260,22,C,linear_iterative
8000,7886,24,C,linear_iterative
8000,-1,23,C,linear_iterative
8000,2906,9,C,linear_iterative
8000,6663,19,C,linear_iterative
8000,-1,24,C,linear_iterative
8000,713,2,C,linear_iterative
8000,2684,8,C,linear_iterative
8000,-1,24,C,linear_iterative
9000,-1,26,C,linear_iterative
9000,51,0,C,linear_iterative
9000,5818,17,C,linear_iterative
9000,7531,22,C,linear_iterative
9000,822,2,C,linear_iterative
9000,-1,27,C,linear_iterative
9000,5076,15,C,linear_iterative
9000,3312,10,C,linear_iterative
9000,-1,27,C,linear_iterative
9000,6723,20,C,linear_iterative
10000,7846,23,C,linear_iterative
10000,8120,24,C,linear_iterative
10000,-1,29,C,linear_iterative
10000,-1,29,C,linear_iterative
10000,9639,28,C,linear_iterative
10000,2916,8,C,linear_iterative
10000,6780,20,C,linear_iterative
10000,-1,29,C,linear_iterative
10000,-1,29,C,linear_iterative
10000,6262,18,C,linear_iterative
11000,-1,32,C,linear_iterative
11000,-1,32,C,linear_iterative
11000,8299,25,C,linear_iterative
11000,10909,32,C,linear_iterative
11000,-1,33,C,linear_iterative
11000,5339,15,C,linear_iterative
11000,10409,31,C,linear_iterative
11000,-1,32,C,linear_iterative
11000,768,2,C,linear_iterative
11000,-1,32,C,linear_iterative
12000,-1,36,C,linear_iterative
12000,8587,25,C,linear_iterative
12000,7299,22,C,linear_iterative
12000,-1,35,C,linear_iterative
12000,-1,36,C,linear_iterative
12000,-1,35,C,linear_iterative
12000,3775,11,C,linear_iterative
12000,-1,36,C,linear_iterative
12000,2098,6,C,linear_iterative
12000,9449,28,C,linear_iterative
13000,-1,38,C,linear_iterative
13000,-1,38,C,linear_iterative
13000,8391,25,C,linear_iterative
13000,12659,38,C,linear_iterative
13000,773,3,C,linear_iterative
13000,5046,14,C,linear_iterative
13000,-1,38,C,linear_iterative
13000,3121,9,C,linear_iterative
13000,-1,39,C,linear_iterative
13000,6826,21,C,linear_iterative
14000,-1,41,C,linear_iterative
14000,-1,42,C,linear_iterative
14000,4616,14,C,linear_iterative
14000,5971,18,C,linear_iterative
14000,-1,41,C,linear_iterative
14000,2796,8,C,linear_iterative
14000,4378,13,C,linear_iterative
14000,267,1,C,linear_iterative
14000,11848,35,C,linear_iterative
14000,-1,41,C,linear_iterative
15000,10005,29,C,linear_iterative
15000,-1,45,C,linear_iterative
15000,10509,31,C,linear_iterative
15000,14560,43,C,linear_iterative
15000,13761,41,C,linear_iterative
15000,6076,18,C,linear_iterative
15000,-1,44,C,linear_iterative
15000,-1,44,C,linear_iterative
15000,-1,44,C,linear_iterative
15000,4310,12,C,linear_iterative
16000,-1,47,C,linear_iterative
16000,-1,47,C,linear_iterative
16000,-1,48,C,linear_iterative
16000,-1,47,C,linear_iterative
16000,6982,20,C,linear_iterative
16000,-1,47,C,linear_iterative
16000,-1,47,C,linear_iterative
16000,-1,48,C,linear_iterative
16000,4432,13,C,linear_iterative
16000,-1,48,C,linear_iterative
17000,-1,50,C,linear_iterative
17000,-1,50,C,linear_iterative
17000,-1,51,C,linear_iterative
17000,-1,51,C,linear_iterative
17000,-1,50,C,linear_iterative
17000,13559,41,C,linear_iterative
17000,12553,37,C,linear_iterative
17000,1931,6,C,linear_iterative
17000,4664,14,C,linear_iterative
17000,15963,47,C,linear_iterative
18000,13446,40,C,linear_iterative
18000,17658,52,C,linear_iterative
18000,-1,54,C,linear_iterative
18000,-1,53,C,linear_iterative
18000,9781,29,C,linear_iterative
18000,-1,53,C,linear_iterative
18000,-1,53,C,linear_iterative
18000,4245,12,C,linear_iterative
18000,-1,53,C,linear_iterative
18000,10567,31,C,linear_iterative
19000,7053,21,C,linear_iterative
19000,-1,56,C,linear_iterative
19000,-1,57,C,linear_iterative
19000,2831,9,C,linear_iterative
19000,-1,56,C,linear_iterative
19000,16564,49,C,linear_iterative
19000,-1,56,C,linear_iterative
19000,18733,55,C,linear_iterative
19000,6056,18,C,linear_iterative
19000,3162,10,C,linear_iterative
20000,-1,59,C,linear_iterative
20000,-1,59,C,linear_iterative
20000,7643,23,C,linear_iterative
20000,2525,8,C,linear_iterative
20000,-1,59,C,linear_iterative
20000,-1,56,C,linear_iterative
20000,-1,56,C,linear_iterative
20000,5789,17,C,linear_iterative
20000,17458,52,C,linear_iterative
20000,-1,56,C,linear_iterative
21000,-1,59,C,linear_iterative
21000,-1,60,C,linear_iterative
21000,3207,10,C,linear_iterative
21000,6328,18,C,linear_iterative
21000,-1,59,C,linear_iterative
21000,2243,6,C,linear_iterative
21000,5154,16,C,linear_iterative
21000,18177,51,C,linear_iterative
21000,17768,50,C,linear_iterative
21000,-1,59,C,linear_iterative
22000,4805,14,C,linear_iterative
22000,-1,62,C,linear_iterative
22000,779,2,C,linear_iterative
22000,9871,28,C,linear_iterative
22000,18271,52,C,linear_iterative
22000,-1,65,C,linear_iterative
22000,9496,26,C,linear_iterative
22000,7968,23,C,linear_iterative
22000,-1,65,C,linear_iterative
22000,-1,62,C,linear_iterative
23000,-1,66,C,linear_iterative
23000,7421,21,C,linear_iterative
23000,18913,53,C,linear_iterative
23000,12214,34,C,linear_iterative
23000,5185,15,C,linear_iterative
23000,1144,3,C,linear_iterative
23000,13033,37,C,linear_iterative
23000,6344,18,C,linear_iterative
23000,-1,68,C,linear_iterative
23000,1378,4,C,linear_iterative
24000,12380,35,C,linear_iterative
24000,22043,62,C,linear_iterative
24000,8750,25,C,linear_iterative
24000,-1,67,C,linear_iterative
24000,-1,68,C,linear_iterative
24000,-1,67,C,linear_iterative
24000,9783,27,C,linear_iterative
24000,989,3,C,linear_iterative
24000,-1,67,C,linear_iterative
24000,-1,68,C,linear_iterative
25000,-1,71,C,linear_iterative
25000,-1,70,C,linear_iterative
25000,8457,24,C,linear_iterative
25000,19935,56,C,linear_iterative
25000,-1,71,C,linear_iterative
25000,-1,71,C,linear_iterative
25000,903,3,C,linear_iterative
25000,-1,71,C,linear_iterative
25000,-1,70,C,linear_iterative
25000,-1,71,C,linear_iterative
26000,-1,74,C,linear_iterative
26000,-1,75,C,linear_iterative
26000,-1,77,C,linear_iterative
26000,21565,64,C,linear_iterative
26000,-1,73,C,linear_iterative
26000,4883,14,C,linear_iterative
26000,15820,44,C,linear_iterative
26000,19309,54,C,linear_iterative
26000,-1,77,C,linear_iterative
26000,14677,41,C,linear_iterative
27000,-1,80,C,linear_iterative
27000,-1,76,C,linear_iterative
27000,2732,8,C,linear_iterative
27000,-1,76,C,linear_iterative
27000,6531,19,C,linear_iterative
27000,14654,42,C,linear_iterative
27000,-1,77,C,linear_iterative
27000,476,1,C,linear_iterative
27000,8043,22,C,linear_iterative
27000,-1,76,C,linear_iterative
28000,-1,81,C,linear_iterative
28000,-1,79,C,linear_iterative
28000,-1,79,C,linear_iterative
28000,-1,79,C,linear_iterative
28000,24325,71,C,linear_iterative
28000,-1,79,C,linear_iterative
28000,20758,59,C,linear_iterative
28000,-1,79,C,linear_iterative
28000,-1,79,C,linear_iterative
28000,18476,52,C,linear_iterative
29000,13235,38,C,linear_iterative
29000,17272,48,C,linear_iterative
29000,7276,20,C,linear_iterative
29000,15411,43,C,linear_iterative
29000,4221,12,C,linear_iterative
29000,28214,79,C,linear_iterative
29000,-1,82,C,linear_iterative
29000,11977,34,C,linear_iterative
29000,27656,78,C,linear_iterative
29000,-1,86,C,linear_iterative
30000,28090,79,C,linear_iterative
30000,21328,60,C,linear_iterative
30000,-1,85,C,linear_iterative
30000,10968,31,C,linear_iterative
30000,-1,84,C,linear_iterative
30000,218,0,C,linear_iterative
30000,-1,85,C,linear_iterative
30000,-1,84,C,linear_iterative
30000,23900,68,C,linear_iterative
30000,-1,88,C,linear_iterative
31000,-1,91,C,linear_iterative
31000,13492,38,C,linear_iterative
31000,-1,87,C,linear_iterative
31000,15124,43,C,linear_iterative
31000,23472,67,C,linear_iterative
31000,21362,60,C,linear_iterative
31000,5011,15,C,linear_iterative
31000,-1,97,C,linear_iterative
31000,-1,87,C,linear_iterative
31000,20261,57,C,linear_iterative
32000,-1,91,C,linear_iterative
32000,-1,90,C,linear_iterative
32000,268,1,C,linear_iterative
32000,2235,7,C,linear_iterative
32000,-1,90,C,linear_iterative
32000,-1,90,C,linear_iterative
32000,10425,29,C,linear_iterative
32000,-1,90,C,linear_iterative
32000,-1,90,C,linear_iterative
32000,-1,93,C,linear_iterative
33000,-1,93,C,linear_iterative
33000,21478,60,C,linear_iterative
33000,28389,81,C,linear_iterative
33000,-1,97,C,linear_iterative
33000,-1,93,C,linear_iterative
33000,14014,40,C,linear_iterative
33000,13237,37,C,linear_iterative
33000,11820,33,C,linear_iterative
33000,-1,93,C,linear_iterative
33000,-1,93,C,linear_iterative
34000,29467,83,C,linear_iterative
34000,-1,96,C,linear_iterative
